date_time	B.1	B.1.1	B.1.1.306	B.1.1.7	B.1.311	B.1.351	B.1.36.29	B.1.525	B.1.617	B.1.617.1	B.1.617.2	B.1.617.3	B.1.618	Other	source
2020-06-20T23:00:00.000Z	0.093062606	0.081218274	0.262267343	0	0	0	0.003384095	0	0	0	0	0	0	0.560067682	
2020-06-21T23:00:00.000Z	0.073490814	0.060367454	0.401574803	0	0	0	0	0	0	0	0	0	0	0.464566929	
2020-06-22T23:00:00.000Z	0.079096045	0.062146893	0.38700565	0	0	0	0	0	0	0	0	0	0	0.471751412	
2020-06-23T23:00:00.000Z	0.0651341	0.076628352	0.390804598	0	0	0	0	0	0	0	0	0	0	0.46743295	
2020-06-24T23:00:00.000Z	0.054455446	0.079207921	0.396039604	0	0	0	0	0	0	0	0	0	0	0.47029703	
2020-06-25T23:00:00.000Z	0.04519774	0.06779661	0.440677966	0	0	0	0	0	0	0	0	0	0	0.446327684	
2020-06-26T23:00:00.000Z	0.056	0.064	0.304	0	0	0	0.008	0	0	0	0	0	0	0.568	
2020-06-27T23:00:00.000Z	0.05	0.05	0.308333333	0	0	0	0.008333333	0	0	0	0	0	0	0.583333333	
2020-06-28T23:00:00.000Z	0.1	0.041666667	0.241666667	0	0	0	0.016666667	0	0	0	0	0	0	0.6	
2020-06-29T23:00:00.000Z	0.114503817	0.030534351	0.175572519	0	0	0	0.053435115	0	0	0	0	0	0	0.625954198	
2020-06-30T23:00:00.000Z	0.114864865	0.033783784	0.175675676	0	0	0	0.094594595	0	0	0	0	0	0	0.581081081	
2020-07-01T23:00:00.000Z	0.115044248	0.026548673	0.221238938	0	0	0	0.14159292	0	0	0	0	0	0	0.495575221	
2020-07-02T23:00:00.000Z	0.126126126	0.036036036	0.225225225	0	0	0	0.144144144	0	0	0	0	0	0	0.468468468	
2020-07-03T23:00:00.000Z	0.126582278	0.018987342	0.17721519	0	0	0	0.215189873	0	0	0	0	0	0	0.462025316	
2020-07-04T23:00:00.000Z	0.123376623	0.019480519	0.175324675	0	0	0	0.220779221	0	0	0	0	0	0	0.461038961	
2020-07-05T23:00:00.000Z	0.11875	0.025	0.1875	0	0	0	0.20625	0	0	0	0	0	0	0.4625	
2020-07-06T23:00:00.000Z	0.12244898	0.034013605	0.224489796	0	0	0	0.19047619	0	0	0	0	0	0	0.428571429	
2020-07-07T23:00:00.000Z	0.111111111	0.027777778	0.298611111	0	0	0	0.145833333	0	0	0	0	0	0	0.416666667	
2020-07-08T23:00:00.000Z	0.104895105	0.027972028	0.307692308	0	0	0	0.132867133	0	0	0	0	0	0	0.426573427	
2020-07-09T23:00:00.000Z	0.1	0.014285714	0.314285714	0	0	0	0.135714286	0	0	0	0	0	0	0.435714286	
2020-07-10T23:00:00.000Z	0.085714286	0.019047619	0.428571429	0	0	0	0	0	0	0	0	0	0	0.466666667	
2020-07-11T23:00:00.000Z	0.08490566	0.018867925	0.424528302	0	0	0	0	0	0	0	0	0	0	0.471698113	
2020-07-12T23:00:00.000Z	0.049382716	0.012345679	0.50617284	0	0	0	0	0	0	0	0	0	0	0.432098765	
2020-07-13T23:00:00.000Z	0.063829787	0.007092199	0.439716312	0	0	0	0	0	0	0	0	0	0	0.489361702	
2020-07-14T23:00:00.000Z	0.075801749	0.06122449	0.192419825	0	0	0	0.005830904	0	0	0	0	0	0	0.664723032	
2020-07-15T23:00:00.000Z	0.076023392	0.061403509	0.204678363	0	0	0	0.005847953	0	0	0	0	0	0	0.652046784	
2020-07-16T23:00:00.000Z	0.076023392	0.061403509	0.201754386	0	0	0	0.005847953	0	0	0	0	0	0	0.65497076	
2020-07-17T23:00:00.000Z	0.088319088	0.062678063	0.210826211	0	0	0	0.005698006	0	0	0	0	0	0	0.632478632	
2020-07-18T23:00:00.000Z	0.090909091	0.063360882	0.228650138	0	0	0	0.005509642	0	0	0	0	0	0	0.611570248	
2020-07-19T23:00:00.000Z	0.095108696	0.0625	0.230978261	0	0	0	0.005434783	0	0	0	0	0	0	0.605978261	
2020-07-20T23:00:00.000Z	0.090614887	0.071197411	0.200647249	0	0	0	0.006472492	0	0	0	0	0	0	0.631067961	
2020-07-21T23:00:00.000Z	0.097345133	0.026548673	0.530973451	0	0	0	0	0	0	0	0	0	0	0.345132743	
2020-07-22T23:00:00.000Z	0.092436975	0.033613445	0.521008403	0	0	0	0	0	0	0	0	0	0	0.352941176	
2020-07-23T23:00:00.000Z	0.09375	0.03125	0.53125	0	0	0	0	0	0	0	0	0	0	0.34375	
2020-07-24T23:00:00.000Z	0.060869565	0.052173913	0.556521739	0	0	0	0.008695652	0	0	0	0	0	0	0.32173913	
2020-07-25T23:00:00.000Z	0.045045045	0.054054054	0.54954955	0	0	0	0.009009009	0	0	0	0	0	0	0.342342342	
2020-07-26T23:00:00.000Z	0.025641026	0.076923077	0.521367521	0	0	0	0.008547009	0	0	0	0	0	0	0.367521368	
